,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,sample_duration,sample_duration_code,sample_duration_type,pollutant_standard,year,quarter,units_of_measure,event_type,observation_count,observation_percent,arithmetic_mean,minimum_value,maximum_value,quarterly_criteria_met,actual_days_gt_std,estimated_days_gt_std,valid_samples,valid_day_count,scheduled_samples,percent_days,percent_one_value,monitoring_agency_code,monitoring_agency,local_site_name,address,state,county,city,tribal_code,tribal_land,cbsa_code,cbsa,date_of_last_change
0,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2018,1,Parts per billion Carbon,No Events,14,93.0,0.0,0.0,0.0,Y,,,14.0,14.0,15.0,15.6,16.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2018-09-06
1,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2018,2,Parts per billion Carbon,No Events,15,100.0,0.0,0.0,0.0,Y,,,15.0,15.0,15.0,16.5,16.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2018-09-06
2,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2018,3,Parts per billion Carbon,No Events,15,94.0,0.0,0.0,0.0,Y,,,15.0,15.0,16.0,16.3,16.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2018-11-19
3,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2018,4,Parts per billion Carbon,No Events,15,100.0,0.0,0.0,0.0,Y,,,15.0,15.0,15.0,16.3,16.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2019-02-25
4,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2019,1,Parts per billion Carbon,No Events,15,100.0,0.0067,0.0,0.1,Y,,,15.0,15.0,15.0,16.7,17.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2019-10-30
5,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2019,2,Parts per billion Carbon,No Events,15,100.0,0.0,0.0,0.0,Y,,,15.0,15.0,15.0,16.5,16.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2019-10-30
6,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2019,3,Parts per billion Carbon,No Events,15,94.0,0.0,0.0,0.0,Y,,,15.0,15.0,16.0,16.3,16.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-02-14
7,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2019,4,Parts per billion Carbon,No Events,15,100.0,0.0,0.0,0.0,Y,,,15.0,15.0,15.0,16.3,16.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-04-10
8,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2020,1,Parts per billion Carbon,No Events,11,73.0,0.0,0.0,0.0,N,,,11.0,11.0,15.0,12.1,12.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-07-20
9,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2020,2,Parts per billion Carbon,No Events,0,0.0,,,,N,,,0.0,0.0,15.0,0.0,0.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-07-20
10,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2020,3,Parts per billion Carbon,No Events,11,69.0,0.0,0.0,0.0,N,,,11.0,11.0,16.0,12.0,12.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2020-11-30
11,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2020,4,Parts per billion Carbon,No Events,11,73.0,0.0,0.0,0.0,N,,,11.0,11.0,15.0,12.0,12.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2021-01-20
12,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2021,1,Parts per billion Carbon,No Events,12,80.0,0.0,0.0,0.0,Y,,,12.0,12.0,15.0,13.3,13.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2022-04-25
13,36,047,0118,43824,2,40.69454,-73.92769,WGS84,Trichloroethylene,24 HOUR,7,O,,2021,2,Parts per billion Carbon,No Events,13,87.0,0.0,0.0,0.0,Y,,,13.0,13.0,15.0,14.3,14.0,0768,New York State Department Of Environmental Conservation,PS 274,PS 274  800 BUSHWICK AVE,New York,Kings,New York,,,35620,"New York-Newark-Jersey City, NY-NJ-PA",2022-04-25
